lapTime_delta,position_delta,mapCollisions_total,shellsUsed_total,bananasUsed_total,mushroomsUsed_total,starsUsed_total,bananaHitsReceived_total,shellHitsReceived_total,player_type,aggressiveness,hit_ratio,powerup_efficiency
38.089,5.8,9,2,1,1,0,2,1,Slow,3,0.75,0.3
8.0,1.0,6,4,7,1,0,3,4,Aggressive,11,0.5833333333333334,1.5714285714285714
36.431,5.6,8,2,1,1,0,2,1,Slow,3,0.75,0.3333333333333333
13.755,3.0,16,3,4,1,0,8,6,Aggressive,7,1.75,0.4117647058823529
19.991,5.1,40,2,2,1,0,7,3,Clumsy,4,2.0,0.0975609756097561
22.374,4.9,30,0,3,0,0,5,4,Clumsy,3,2.25,0.0967741935483871
17.082,3.1,12,5,0,5,0,3,8,Chaotic,5,1.8333333333333333,0.38461538461538464
20.228,3.6,20,4,4,2,0,7,6,Chaotic,8,1.4444444444444444,0.38095238095238093
25.855,4.7,1,2,1,0,0,0,0,Slow,3,0.0,1.5
37.761,5.9,9,0,0,1,0,2,2,Slow,0,4.0,0.0
10.509,1.8,6,6,4,2,0,6,4,Aggressive,10,0.9090909090909091,1.4285714285714286
12.037,2.5,3,2,2,2,0,2,1,Conservative,4,0.6,1.0
14.0,4.0,20,3,0,0,0,7,4,Clumsy,3,2.75,0.14285714285714285
8.887,1.6,6,3,8,1,0,3,5,Aggressive,11,0.6666666666666666,1.5714285714285714
16.85,4.4,21,1,1,0,0,6,4,Clumsy,2,3.3333333333333335,0.09090909090909091
13.888,3.0,16,4,3,2,0,7,3,Aggressive,7,1.25,0.4117647058823529
16.298,3.9,6,2,2,3,0,2,1,Conservative,4,0.6,0.5714285714285714
9.385,1.5,10,5,4,2,0,7,3,Aggressive,9,1.0,0.8181818181818182
31.613,5.6,3,0,0,2,1,0,0,Slow,0,0.0,0.0
34.508,5.7,6,2,2,1,0,0,0,Slow,4,0.0,0.5714285714285714
21.586,4.3,22,1,3,3,0,7,8,Chaotic,4,3.0,0.17391304347826086
11.904,2.8,15,6,0,5,0,9,4,Chaotic,6,1.8571428571428572,0.375
11.972,2.4,1,1,2,0,0,0,1,Conservative,3,0.25,1.5
26.917,5.6,35,3,1,2,0,7,4,Clumsy,4,2.2,0.1111111111111111
34.152,5.2,7,2,1,0,0,1,1,Slow,3,0.5,0.375
25.379,5.6,35,1,3,1,0,8,3,Clumsy,4,2.2,0.1111111111111111
8.395,1.2,6,3,3,3,0,6,4,Aggressive,6,1.4285714285714286,0.8571428571428571
30.0,6.0,26,1,7,0,0,9,8,Chaotic,8,1.8888888888888888,0.2962962962962963
11.843,2.8,2,0,2,1,0,0,1,Conservative,2,0.3333333333333333,0.6666666666666666
17.468,3.9,8,1,1,1,0,2,1,Conservative,2,1.0,0.2222222222222222
28.739,5.9,30,3,2,2,0,6,4,Clumsy,5,1.6666666666666667,0.16129032258064516
22.754,5.3,20,2,3,0,0,3,5,Chaotic,5,1.3333333333333333,0.23809523809523808
18.983,5.8,9,0,1,0,0,1,2,Slow,1,1.5,0.1
24.968,5.5,32,0,2,0,0,3,4,Clumsy,2,2.3333333333333335,0.06060606060606061
32.995,5.5,5,0,1,1,0,1,2,Slow,1,1.5,0.16666666666666666
19.535,5.3,43,2,0,0,0,5,4,Clumsy,2,3.0,0.045454545454545456
40.0,6.0,10,0,2,2,0,1,1,Slow,2,0.6666666666666666,0.18181818181818182
34.827,5.3,7,0,0,1,0,2,0,Slow,0,2.0,0.0
12.683,2.7,1,0,2,3,0,2,1,Conservative,2,1.0,1.0
9.941,1.6,8,4,4,1,0,3,3,Aggressive,8,0.6666666666666666,0.8888888888888888
11.847,2.5,1,1,2,3,0,0,0,Conservative,3,0.0,1.5
33.036,5.3,6,1,0,2,0,1,0,Slow,1,0.5,0.14285714285714285
41.013,4.0,9,1,2,2,0,0,0,Slow,3,0.0,0.3
19.095,4.5,26,3,2,0,0,7,3,Clumsy,5,1.6666666666666667,0.18518518518518517
11.294,1.0,12,4,4,3,0,4,5,Chaotic,8,1.0,0.6153846153846154
12.662,2.4,16,4,4,1,0,7,4,Aggressive,8,1.2222222222222223,0.47058823529411764
26.817,5.4,35,1,3,0,0,4,4,Clumsy,4,1.6,0.1111111111111111
30.866,5.4,5,2,1,1,0,1,2,Slow,3,0.75,0.5
37.923,5.5,9,1,2,0,0,2,0,Slow,3,0.5,0.3
12.618,1.9,15,1,0,0,0,3,8,Chaotic,1,5.5,0.0625
9.445,1.1,7,3,4,5,0,5,5,Aggressive,7,1.25,0.875
16.453,3.4,6,2,2,1,0,0,2,Conservative,4,0.4,0.5714285714285714
11.013,2.0,10,5,4,3,0,3,6,Aggressive,9,0.9,0.8181818181818182
17.424,3.8,6,2,0,0,0,0,2,Conservative,2,0.6666666666666666,0.2857142857142857
20.649,5.1,8,1,0,2,0,0,0,Slow,1,0.0,0.1111111111111111
22.411,5.0,29,3,3,1,0,3,5,Clumsy,6,1.1428571428571428,0.2
14.0,3.0,18,4,3,5,0,7,5,Aggressive,7,1.5,0.3684210526315789
16.517,3.9,6,0,2,2,0,1,0,Conservative,2,0.3333333333333333,0.2857142857142857
12.409,2.6,2,0,2,1,0,2,2,Conservative,2,1.3333333333333333,0.6666666666666666
20.214,4.0,0,0,1,0,0,2,2,Slow,1,2.0,1.0
18.0,3.9,8,0,2,1,0,1,1,Conservative,2,0.6666666666666666,0.2222222222222222
15.286,3.3,12,3,0,1,0,6,4,Chaotic,3,2.5,0.23076923076923078
35.402,5.1,9,0,0,0,0,1,0,Slow,0,1.0,0.0
15.817,3.4,5,2,2,3,0,0,0,Conservative,4,0.0,0.6666666666666666
17.714,4.9,41,3,0,1,0,5,4,Clumsy,3,2.25,0.07142857142857142
14.571,3.3,3,2,0,0,0,2,1,Conservative,2,1.0,0.5
25.26,5.3,30,1,0,1,0,4,3,Clumsy,1,3.5,0.03225806451612903
13.411,3.0,2,1,1,3,0,1,2,Conservative,2,1.0,0.6666666666666666
31.315,5.3,6,1,2,2,0,0,1,Slow,3,0.25,0.42857142857142855
39.849,5.6,9,0,0,0,0,1,0,Slow,0,1.0,0.0
33.52,5.4,7,0,0,1,0,1,0,Slow,0,1.0,0.0
25.781,4.8,4,2,1,0,0,0,2,Slow,3,0.5,0.6
20.596,4.6,29,0,0,2,0,5,5,Clumsy,0,10.0,0.0
17.618,3.8,8,2,0,1,0,2,1,Conservative,2,1.0,0.2222222222222222
10.342,1.8,5,0,2,2,0,0,0,Conservative,2,0.0,0.3333333333333333
10.072,1.9,9,3,7,1,0,3,5,Aggressive,10,0.7272727272727273,1.0
37.519,5.9,9,0,1,1,0,2,0,Slow,1,1.0,0.1
18.394,3.8,15,7,3,2,0,5,3,Chaotic,10,0.7272727272727273,0.625
9.608,1.5,5,4,4,4,0,3,5,Aggressive,8,0.8888888888888888,1.3333333333333333
15.748,2.2,15,3,6,3,0,10,7,Chaotic,9,1.7,0.5625
20.746,5.0,29,2,1,2,0,3,3,Clumsy,3,1.5,0.1
25.987,5.4,31,3,0,1,0,7,3,Clumsy,3,2.5,0.09375
23.518,4.4,23,3,3,5,0,3,5,Chaotic,6,1.1428571428571428,0.25
8.125,3.6,8,3,3,0,0,10,6,Chaotic,6,2.2857142857142856,0.6666666666666666
20.0,4.2,1,1,0,1,0,2,1,Slow,1,1.5,0.5
16.132,3.6,7,1,2,0,0,2,0,Conservative,3,0.5,0.375
18.791,4.5,25,3,2,2,0,8,6,Clumsy,5,2.3333333333333335,0.19230769230769232
10.052,1.5,8,7,2,3,0,6,4,Aggressive,9,1.0,1.0
11.404,2.3,2,0,0,1,0,2,2,Conservative,0,4.0,0.0
10.807,1.9,5,5,0,2,0,2,2,Pro,5,0.6666666666666666,0.8333333333333334
8.296,2.1,6,0,2,1,0,2,0,Pro,2,0.6666666666666666,0.2857142857142857
13.588,2.0,6,6,6,0,0,5,6,Aggressive,12,0.8461538461538461,1.7142857142857142
8.261,1.5,2,3,0,4,0,2,2,Pro,3,1.0,1.0
24.165,4.2,2,1,2,2,0,1,0,Slow,3,0.25,1.0
21.007,4.2,0,1,0,2,1,2,2,Slow,1,2.0,1.0
16.896,4.4,21,2,1,2,0,3,5,Clumsy,3,2.0,0.13636363636363635
13.719,3.0,15,4,3,2,0,4,5,Aggressive,7,1.125,0.4375
22.768,5.9,20,2,3,1,0,5,5,Clumsy,5,1.6666666666666667,0.23809523809523808
10.372,2.0,0,2,1,0,0,1,1,Conservative,3,0.5,3.0
30.15,5.2,3,2,1,0,0,1,1,Slow,3,0.5,0.75
30.0,6.0,27,0,1,3,0,4,3,Chaotic,1,3.5,0.03571428571428571
16.802,4.2,19,2,0,0,0,7,6,Clumsy,2,4.333333333333333,0.1
11.495,2.1,12,6,5,1,0,4,3,Aggressive,11,0.5833333333333334,0.8461538461538461
13.69,2.9,17,8,4,0,0,8,4,Aggressive,12,0.9230769230769231,0.6666666666666666
25.345,4.4,2,1,1,1,0,2,2,Slow,2,1.3333333333333333,0.6666666666666666
9.1,1.5,2,4,0,4,0,2,2,Pro,4,0.8,1.3333333333333333
16.216,3.7,19,3,4,5,0,4,8,Chaotic,7,1.5,0.35
9.329,1.6,3,2,1,4,0,1,0,Pro,3,0.25,0.75
24.128,5.6,34,2,1,2,0,3,5,Clumsy,3,2.0,0.08571428571428572
12.568,2.4,12,6,6,0,0,5,4,Chaotic,12,0.6923076923076923,0.9230769230769231
23.496,4.7,21,1,4,1,0,3,3,Chaotic,5,1.0,0.22727272727272727
25.832,4.9,25,3,1,1,0,4,8,Chaotic,4,2.4,0.15384615384615385
26.637,5.3,35,2,3,0,0,4,6,Clumsy,5,1.6666666666666667,0.1388888888888889
10.077,2.0,0,0,1,0,0,2,1,Conservative,1,1.5,1.0
12.86,2.9,16,1,8,3,0,3,6,Aggressive,9,0.9,0.5294117647058824
16.175,3.9,6,1,0,1,0,2,0,Conservative,1,1.0,0.14285714285714285
29.622,5.9,10,2,0,0,0,2,1,Slow,2,1.0,0.18181818181818182
12.077,2.3,14,5,4,2,0,4,6,Aggressive,9,1.0,0.6
14.459,3.4,4,0,2,3,0,2,1,Conservative,2,1.0,0.4
24.38,5.4,35,0,1,1,0,8,6,Clumsy,1,7.0,0.027777777777777776
13.684,2.6,17,7,4,0,0,6,4,Aggressive,11,0.8333333333333334,0.6111111111111112
7.842,1.1,2,1,2,1,0,2,0,Pro,3,0.5,1.0
28.527,5.9,38,1,1,0,0,5,3,Clumsy,2,2.6666666666666665,0.05128205128205128
32.5,5.4,7,1,2,0,0,1,0,Slow,3,0.25,0.375
28.501,5.6,27,5,7,0,0,9,3,Chaotic,12,0.9230769230769231,0.42857142857142855
11.796,2.7,1,1,2,3,0,2,1,Conservative,3,0.75,1.5
11.109,1.8,10,6,3,3,0,8,8,Chaotic,9,1.6,0.8181818181818182
13.948,3.4,5,0,1,2,0,0,0,Conservative,1,0.0,0.16666666666666666
12.144,2.3,13,6,6,0,0,8,4,Aggressive,12,0.9230769230769231,0.8571428571428571
34.528,5.2,8,2,1,0,0,0,0,Slow,3,0.0,0.3333333333333333
28.247,5.5,26,6,2,3,0,10,7,Chaotic,8,1.8888888888888888,0.2962962962962963
34.983,4.8,6,1,0,0,0,2,2,Slow,1,2.0,0.14285714285714285
15.045,3.2,4,0,1,0,0,2,2,Conservative,1,2.0,0.2
25.575,5.0,1,1,2,0,0,1,1,Slow,3,0.5,1.5
10.875,2.0,5,0,3,2,0,1,0,Pro,3,0.25,0.5
8.927,2.1,0,4,1,1,0,2,0,Pro,5,0.3333333333333333,5.0
14.0,4.0,19,0,2,2,0,7,6,Clumsy,2,4.333333333333333,0.1
15.722,3.4,6,0,2,1,0,2,0,Conservative,2,0.6666666666666666,0.2857142857142857
28.097,5.6,37,3,3,1,0,4,6,Clumsy,6,1.4285714285714286,0.15789473684210525
14.439,3.3,5,0,1,2,0,1,2,Conservative,1,1.5,0.16666666666666666
10.0,2.0,0,0,2,3,0,1,1,Conservative,2,0.6666666666666666,2.0
10.282,2.4,5,0,0,1,0,2,2,Conservative,0,4.0,0.0
12.093,2.3,13,5,3,4,0,4,3,Aggressive,8,0.7777777777777778,0.5714285714285714
24.66,4.6,4,0,2,2,0,2,0,Slow,2,0.6666666666666666,0.4
23.994,4.8,2,2,2,0,0,2,2,Slow,4,0.8,1.3333333333333333
19.274,3.8,16,6,0,4,0,10,3,Chaotic,6,1.8571428571428572,0.35294117647058826
8.951,3.5,3,0,0,0,0,2,0,Conservative,0,2.0,0.0
27.719,4.3,4,2,2,0,0,0,1,Slow,4,0.2,0.8
21.623,4.2,1,0,0,0,0,0,1,Slow,0,1.0,0.0
27.721,5.6,40,1,1,1,1,3,6,Clumsy,2,3.0,0.04878048780487805
17.225,3.8,6,0,1,1,0,2,0,Conservative,1,1.0,0.14285714285714285
20.87,4.6,28,1,3,0,0,5,4,Clumsy,4,1.8,0.13793103448275862
14.248,3.1,3,0,2,1,0,2,1,Conservative,2,1.0,0.5
7.0,1.1,0,2,1,0,0,1,0,Pro,3,0.25,3.0
11.72,2.4,1,1,0,1,0,0,0,Conservative,1,0.0,0.5
10.346,1.9,10,5,5,2,0,3,4,Aggressive,10,0.6363636363636364,0.9090909090909091
9.05,1.6,3,0,0,5,0,0,2,Pro,0,2.0,0.0
10.523,2.1,13,6,3,0,0,8,5,Aggressive,9,1.3,0.6428571428571429
31.61,5.1,7,0,2,0,0,1,0,Slow,2,0.3333333333333333,0.25
17.094,4.5,20,1,1,0,0,3,3,Clumsy,2,2.0,0.09523809523809523
24.185,4.5,1,1,1,0,0,0,1,Slow,2,0.3333333333333333,1.0
11.306,2.3,0,1,2,0,0,2,2,Conservative,3,1.0,3.0
14.0,2.7,18,7,5,0,0,8,6,Aggressive,12,1.0769230769230769,0.631578947368421
14.455,4.0,22,3,2,2,0,3,4,Clumsy,5,1.1666666666666667,0.21739130434782608
19.491,4.6,25,3,2,2,0,4,6,Clumsy,5,1.6666666666666667,0.19230769230769232
24.493,5.2,33,0,1,0,0,6,6,Clumsy,1,6.0,0.029411764705882353
25.394,5.6,36,2,1,1,0,4,4,Clumsy,3,2.0,0.08108108108108109
34.909,5.5,8,1,2,2,0,2,1,Slow,3,0.75,0.3333333333333333
40.0,6.0,10,2,1,2,0,1,0,Slow,3,0.25,0.2727272727272727
10.881,2.5,4,0,0,1,0,2,2,Conservative,0,4.0,0.0
16.015,2.5,1,1,0,2,0,2,0,Conservative,1,1.0,0.5
39.307,6.0,9,1,2,2,0,1,1,Slow,3,0.5,0.3
24.972,5.1,34,1,1,2,0,4,3,Clumsy,2,2.3333333333333335,0.05714285714285714
26.856,5.5,35,2,3,1,0,5,5,Clumsy,5,1.6666666666666667,0.1388888888888889
23.541,5.1,32,0,3,0,0,4,4,Clumsy,3,2.0,0.09090909090909091
12.909,2.3,16,6,2,4,0,5,5,Aggressive,8,1.1111111111111112,0.47058823529411764
12.144,1.9,12,2,5,5,0,8,3,Chaotic,7,1.375,0.5384615384615384
13.298,2.7,3,2,1,1,0,0,0,Conservative,3,0.0,0.75
22.9,5.0,26,2,3,0,0,3,6,Clumsy,5,1.5,0.18518518518518517
35.326,5.4,9,0,0,2,0,0,0,Slow,0,0.0,0.0
19.603,5.5,15,2,0,0,0,7,6,Clumsy,2,4.333333333333333,0.125
11.906,2.5,13,5,6,1,0,7,3,Aggressive,11,0.8333333333333334,0.7857142857142857
7.184,1.1,0,2,3,5,0,0,2,Pro,5,0.3333333333333333,5.0
20.496,5.1,30,3,3,1,0,4,4,Clumsy,6,1.1428571428571428,0.1935483870967742
37.33,6.0,9,2,2,2,0,0,0,Slow,4,0.0,0.4
7.0,1.0,8,4,8,0,0,10,3,Chaotic,12,1.0,1.3333333333333333
20.986,4.2,1,2,1,0,0,0,1,Slow,3,0.25,1.5
36.764,4.1,7,1,1,0,0,0,0,Slow,2,0.0,0.25
12.751,2.5,15,2,6,2,0,9,3,Chaotic,8,1.3333333333333333,0.5
9.106,1.6,2,0,1,1,0,1,0,Pro,1,0.5,0.3333333333333333
20.568,4.3,0,0,2,2,0,0,0,Slow,2,0.0,2.0
26.638,5.8,35,2,3,0,0,7,4,Clumsy,5,1.8333333333333333,0.1388888888888889
7.895,1.3,8,3,4,1,0,6,5,Aggressive,7,1.375,0.7777777777777778
19.864,4.9,26,0,0,1,0,6,6,Clumsy,0,12.0,0.0
12.823,2.7,17,7,5,0,0,8,3,Aggressive,12,0.8461538461538461,0.6666666666666666
12.65,2.3,14,4,4,4,0,8,6,Aggressive,8,1.5555555555555556,0.5333333333333333
